snapshot_year,neuron_x,neuron_y,ps_cluster,optimal_k,db_score,is_active
1998,6,6,1,12,1.0563,1
1998,2,3,12,12,1.0563,1
1998,3,5,12,12,1.0563,1
1998,0,-4,7,12,1.0563,0
1998,0,0,10,12,1.0563,0
1998,2,4,12,12,1.0563,1
1998,-4,2,5,12,1.0563,1
1998,-1,0,10,12,1.0563,0
2002,-2,1,13,15,0.9131,1
2002,5,-2,5,15,0.9131,1
2002,0,3,8,15,0.9131,1
2002,4,6,2,15,0.9131,1
2002,0,4,8,15,0.9131,0
2002,-1,3,8,15,0.9131,0
2002,-2,2,13,15,0.9131,0
2002,5,5,1,15,0.9131,1
2002,-1,4,8,15,0.9131,0
2002,6,-2,5,15,0.9131,1
2002,7,2,4,15,0.9131,1
2002,4,7,2,15,0.9131,1
2002,2,1,8,15,0.9131,1
2002,-3,-1,14,15,0.9131,1
2002,1,-1,7,15,0.9131,1
2002,-4,7,12,15,0.9131,1
2002,2,2,8,15,0.9131,1
2002,2,-3,10,15,0.9131,1
2002,-3,0,14,15,0.9131,1
2002,1,-4,9,15,0.9131,1
2002,1,0,7,15,0.9131,1
2002,3,-1,11,15,0.9131,1
2002,4,-2,11,15,0.9131,1
2002,-2,6,12,15,0.9131,1
2002,0,1,8,15,0.9131,0
2002,-1,1,13,15,0.9131,0
2002,3,-4,10,15,0.9131,1
2002,3,0,11,15,0.9131,1
2002,0,8,6,15,0.9131,1
2002,-2,7,8,15,0.9131,0
2002,-3,3,13,15,0.9131,1
2002,4,5,1,15,0.9131,1
2002,0,2,8,15,0.9131,0
2002,0,-3,7,15,0.9131,0
2002,-3,4,13,15,0.9131,1
2002,1,3,8,15,0.9131,1
2002,-1,2,13,15,0.9131,0
2002,-1,-3,9,15,0.9131,0
2002,1,4,8,15,0.9131,1
2002,-4,5,12,15,0.9131,0
2002,2,6,8,15,0.9131,1
2002,5,-1,5,15,0.9131,1
2002,3,3,1,15,0.9131,1
2002,3,4,1,15,0.9131,1
2002,2,7,8,15,0.9131,1
2002,-2,-2,14,15,0.9131,1
2002,5,0,5,15,0.9131,1
2002,6,-1,5,15,0.9131,1
2002,0,-5,9,15,0.9131,1
2002,0,6,8,15,0.9131,1
2002,-2,5,12,15,0.9131,1
2002,-1,6,8,15,0.9131,1
2002,-3,1,13,15,0.9131,1
2002,6,0,4,15,0.9131,0
2002,1,1,8,15,0.9131,1
2002,2,-2,7,15,0.9131,0
