lambda_,max_neurons,n_iter,window_size,step_size,n_neurons,n_samples,db_1990,db_2000,db_2010,db_2020,mean_db,min_db,max_db,time_seconds
1.0,150,250,3,1,150,5280,0.4137324100061042,0.8489997792965666,0.8236930264231045,0.6005496160136261,0.6717437079348503,0.4137324100061042,0.8489997792965666,12.9
1.0,150,250,3,2,149,2640,0.8875577246884236,0.8228843749942417,0.869405837140184,0.6615856725448785,0.810358402341932,0.6615856725448785,0.8875577246884236,6.6
1.0,150,250,5,1,150,4950,0.7978610824557694,0.9166893746877283,0.8584720132960412,,0.8576741568131796,0.7978610824557694,0.9166893746877283,18.8
1.0,150,250,5,2,149,2475,0.8817827140554924,0.8681268667630209,0.8946323518488427,,0.8815139775557853,0.8681268667630209,0.8946323518488427,9.6
1.0,150,300,3,1,150,5280,0.8906457773488705,0.8488912221391605,0.8179740776511232,0.6395755987302514,0.7992716689673514,0.6395755987302514,0.8906457773488705,15.5
1.0,150,300,3,2,149,2640,0.6942278189797209,0.946325839557811,0.8215504083323961,0.6443316905496269,0.7766089393548887,0.6443316905496269,0.946325839557811,8.0
1.0,150,300,5,1,150,4950,0.9119720174013202,0.9799767741242689,0.8273659580744327,,0.906438249866674,0.8273659580744327,0.9799767741242689,22.1
1.0,150,300,5,2,149,2475,0.8627502804432925,0.9532899499007568,0.7601634785730078,,0.8587345696390191,0.7601634785730078,0.9532899499007568,11.1
1.5,60,150,3,1,60,5280,0.8166799257483566,0.7772327171840278,0.7264960396065164,0.6124173610842158,0.733206510905779,0.6124173610842158,0.8166799257483566,3.2
1.5,60,150,3,2,60,2640,0.5105527946978589,0.706340448208597,0.7557153863016393,0.6798930579262911,0.6631254217835966,0.5105527946978589,0.7557153863016393,1.7
1.5,60,150,5,1,60,4950,0.7785338739314338,0.7402689665057923,0.7067633685913112,,0.7418554030095125,0.7067633685913112,0.7785338739314338,4.6
1.5,60,150,5,2,60,2475,0.610662463001225,0.775667765224202,0.7344165731310924,,0.7069156004521732,0.610662463001225,0.775667765224202,2.4
1.5,60,200,3,1,60,5280,0.5405338972160663,0.6949159495236978,0.785615922735308,0.6356899797088867,0.6641889372959897,0.5405338972160663,0.785615922735308,4.3
1.5,60,200,3,2,60,2640,0.6389956166119742,0.6950015763768834,0.8084272308061563,0.5606803571731607,0.6757761952420436,0.5606803571731607,0.8084272308061563,2.2
1.5,60,200,5,1,60,4950,0.7207067658096162,0.7916776168749848,0.6951503745091356,,0.7358449190645789,0.6951503745091356,0.7916776168749848,6.2
1.5,60,200,5,2,60,2475,0.6083468023061798,0.7480491689290459,0.7186549476758782,,0.6916836396370346,0.6083468023061798,0.7480491689290459,3.2
1.5,60,250,3,1,60,5280,0.8254099148786098,0.6918931556837595,0.6830334781651742,0.6313697276164596,0.7079265690860008,0.6313697276164596,0.8254099148786098,5.3
1.5,60,250,3,2,60,2640,0.7583239594659148,0.6943186685643927,0.8508946765993226,0.5604052118136473,0.7159856291108194,0.5604052118136473,0.8508946765993226,2.7
1.5,60,250,5,1,60,4950,0.7291294537729471,0.7480966405044768,0.7069049794128857,,0.7280436912301033,0.7069049794128857,0.7480966405044768,7.8
1.5,60,250,5,2,60,2475,0.20404594033616238,0.7456386482641247,0.6904762850017091,,0.5467202912006655,0.20404594033616238,0.7456386482641247,3.9
1.5,60,300,3,1,60,5280,0.5106713051881613,0.6912713169909811,0.6824249111036145,0.6363479034301116,0.6301788591782171,0.5106713051881613,0.6912713169909811,6.4
1.5,60,300,3,2,60,2640,0.7278050110920843,0.695493401765598,0.8282374507266582,0.5605487807578178,0.7030211610855396,0.5605487807578178,0.8282374507266582,3.3
1.5,60,300,5,1,60,4950,0.7503717477612133,0.7044726712746897,0.6801972751058297,,0.711680564713911,0.6801972751058297,0.7503717477612133,9.3
1.5,60,300,5,2,60,2475,0.7590032532872255,0.7816940275948007,0.7183838713627565,,0.7530270507482609,0.7183838713627565,0.7816940275948007,4.8
1.5,80,150,3,1,80,5280,0.7938045962148281,0.5211921472879381,0.7930322446224926,0.7121280101604351,0.7050392495714235,0.5211921472879381,0.7938045962148281,4.2
1.5,80,150,3,2,80,2640,0.7261732641177367,0.652804417010609,0.6549089833140966,0.6167228579016459,0.662652380586022,0.6167228579016459,0.7261732641177367,2.2
1.5,80,150,5,1,80,4950,0.6962640209911212,0.8763525038278772,0.6257478640005607,,0.7327881296065198,0.6257478640005607,0.8763525038278772,6.0
